UTC,WALL:,,moment VS,NZCHAT,,,UTC,WALL:,moment VS,cairo,
2026-09-26 14:00:00Z,2026-09-27T03:45:00+13:45,,2026-09-26T23:00:00+09:00,2026-09-27T03:45:00+13:45,TRUE,,2034-10-26T21:00:00Z,2034-10-26T23:00:00+02:00,2034-10-27T06:00:00+09:00,2034-10-26T23:00:00+02:00,TRUE
2027-04-03 14:00:00Z,2027-04-04T02:45:00+12:45,,2027-04-03T23:00:00+09:00,2027-04-04T02:45:00+12:45,TRUE,,,,,,
2027-09-25 14:00:00Z,2027-09-26T03:45:00+13:45,,2027-09-25T23:00:00+09:00,2027-09-26T03:45:00+13:45,TRUE,,,,,,
2028-04-01 14:00:00Z,2028-04-02T02:45:00+12:45,,2028-04-01T23:00:00+09:00,2028-04-02T02:45:00+12:45,TRUE,,,,,,
2028-09-23 14:00:00Z,2028-09-24T03:45:00+13:45,,2028-09-23T23:00:00+09:00,2028-09-24T03:45:00+13:45,TRUE,,,,,,
2029-03-31 14:00:00Z,2029-04-01T02:45:00+12:45,,2029-03-31T23:00:00+09:00,2029-04-01T02:45:00+12:45,TRUE,,,,,,
2029-09-29 14:00:00Z,2029-09-30T03:45:00+13:45,,2029-09-29T23:00:00+09:00,2029-09-30T03:45:00+13:45,TRUE,,,,,,
2030-04-06 14:00:00Z,2030-04-07T02:45:00+12:45,,2030-04-06T23:00:00+09:00,2030-04-07T02:45:00+12:45,TRUE,,,,,,
2030-09-28 14:00:00Z,2030-09-29T03:45:00+13:45,,2030-09-28T23:00:00+09:00,2030-09-29T03:45:00+13:45,TRUE,,,,,,
2031-04-05 14:00:00Z,2031-04-06T02:45:00+12:45,,2031-04-05T23:00:00+09:00,2031-04-06T02:45:00+12:45,TRUE,,,,,,
2031-09-27 14:00:00Z,2031-09-28T03:45:00+13:45,,2031-09-27T23:00:00+09:00,2031-09-28T03:45:00+13:45,TRUE,,,,,,
2032-04-03 14:00:00Z,2032-04-04T02:45:00+12:45,,2032-04-03T23:00:00+09:00,2032-04-04T02:45:00+12:45,TRUE,,,,,,
2032-09-25 14:00:00Z,2032-09-26T03:45:00+13:45,,2032-09-25T23:00:00+09:00,2032-09-26T03:45:00+13:45,TRUE,,,,,,
2033-04-02 14:00:00Z,2033-04-03T02:45:00+12:45,,2033-04-02T23:00:00+09:00,2033-04-03T02:45:00+12:45,TRUE,,,,,,
2033-09-24 14:00:00Z,2033-09-25T03:45:00+13:45,,2033-09-24T23:00:00+09:00,2033-09-25T03:45:00+13:45,TRUE,,,,,,
2034-04-01 14:00:00Z,2034-04-02T02:45:00+12:45,,2034-04-01T23:00:00+09:00,2034-04-02T02:45:00+12:45,TRUE,,,,,,
2034-09-23 14:00:00Z,2034-09-24T03:45:00+13:45,,2034-09-23T23:00:00+09:00,2034-09-24T03:45:00+13:45,TRUE,,,,,,
