a, b,c,src mommenttz,,,,,,a,b,b,
America/Moncton,2025-03-09T06:00:00Z,2025-03-09T03:00:00-03:00,AST -4,,,,,,America/Ensenada,2025-11-02T09:00:00Z,2025-11-02T01:00:00-08:00,PDT -7
America/Thule,2025-03-09T06:00:00Z,2025-03-09T03:00:00-03:00,AST -4,,,,,,America/Los_Angeles,2025-11-02T09:00:00Z,2025-11-02T01:00:00-08:00,PDT -7
Atlantic/Bermuda,2025-03-09T06:00:00Z,2025-03-09T03:00:00-03:00,AST -4,,,,,,America/Santa_Isabel,2025-11-02T09:00:00Z,2025-11-02T01:00:00-08:00,PDT -7
Canada/Atlantic,2025-03-09T06:00:00Z,2025-03-09T03:00:00-03:00,AST -4,,,,,,America/Tijuana,2025-11-02T09:00:00Z,2025-11-02T01:00:00-08:00,PDT -7
America/Detroit,2025-03-09T07:00:00Z,2025-03-09T03:00:00-04:00,EST -5,,,,,,America/Vancouver,2025-11-02T09:00:00Z,2025-11-02T01:00:00-08:00,PDT -7
America/Fort_Wayne,2025-03-09T07:00:00Z,2025-03-09T03:00:00-04:00,EST -5,,,,,,Canada/Pacific,2025-11-02T09:00:00Z,2025-11-02T01:00:00-08:00,PDT -7
America/Grand_Turk,2025-03-09T07:00:00Z,2025-03-09T03:00:00-04:00,EST -5,,,,,,Mexico/BajaNorte,2025-11-02T09:00:00Z,2025-11-02T01:00:00-08:00,PDT -7
America/Indiana/Indianapolis,2025-03-09T07:00:00Z,2025-03-09T03:00:00-04:00,EST -5,,,,,,PST8PDT,2025-11-02T09:00:00Z,2025-11-02T01:00:00-08:00,PDT -7
America/Indiana/Marengo,2025-03-09T07:00:00Z,2025-03-09T03:00:00-04:00,EST -5,,,,,,US/Pacific,2025-11-02T09:00:00Z,2025-11-02T01:00:00-08:00,PDT -7
America/Indiana/Petersburg,2025-03-09T07:00:00Z,2025-03-09T03:00:00-04:00,EST -5,,,,,,America/Boise,2025-11-02T08:00:00Z,2025-11-02T01:00:00-07:00,MDT -6
America/Indiana/Vevay,2025-03-09T07:00:00Z,2025-03-09T03:00:00-04:00,EST -5,,,,,,America/Cambridge_Bay,2025-11-02T08:00:00Z,2025-11-02T01:00:00-07:00,MDT -6
America/Indiana/Vincennes,2025-03-09T07:00:00Z,2025-03-09T03:00:00-04:00,EST -5,,,,,,America/Ciudad_Juarez,2025-11-02T08:00:00Z,2025-11-02T01:00:00-07:00,MDT -6
America/Indiana/Winamac,2025-03-09T07:00:00Z,2025-03-09T03:00:00-04:00,EST -5,,,,,,America/Denver,2025-11-02T08:00:00Z,2025-11-02T01:00:00-07:00,MDT -6
America/Indianapolis,2025-03-09T07:00:00Z,2025-03-09T03:00:00-04:00,EST -5,,,,,,America/Edmonton,2025-11-02T08:00:00Z,2025-11-02T01:00:00-07:00,MDT -6
America/Iqaluit,2025-03-09T07:00:00Z,2025-03-09T03:00:00-04:00,EST -5,,,,,,America/Inuvik,2025-11-02T08:00:00Z,2025-11-02T01:00:00-07:00,MDT -6
America/Kentucky/Louisville,2025-03-09T07:00:00Z,2025-03-09T03:00:00-04:00,EST -5,,,,,,America/Shiprock,2025-11-02T08:00:00Z,2025-11-02T01:00:00-07:00,MDT -6
America/Kentucky/Monticello,2025-03-09T07:00:00Z,2025-03-09T03:00:00-04:00,EST -5,,,,,,America/Yellowknife,2025-11-02T08:00:00Z,2025-11-02T01:00:00-07:00,MDT -6
America/Louisville,2025-03-09T07:00:00Z,2025-03-09T03:00:00-04:00,EST -5,,,,,,Canada/Mountain,2025-11-02T08:00:00Z,2025-11-02T01:00:00-07:00,MDT -6
America/Montreal,2025-03-09T07:00:00Z,2025-03-09T03:00:00-04:00,EST -5,,,,,,MST7MDT,2025-11-02T08:00:00Z,2025-11-02T01:00:00-07:00,MDT -6
America/Nassau,2025-03-09T07:00:00Z,2025-03-09T03:00:00-04:00,EST -5,,,,,,Navajo,2025-11-02T08:00:00Z,2025-11-02T01:00:00-07:00,MDT -6
America/New_York,2025-03-09T07:00:00Z,2025-03-09T03:00:00-04:00,EST -5,,,,,,US/Mountain,2025-11-02T08:00:00Z,2025-11-02T01:00:00-07:00,MDT -6
America/Nipigon,2025-03-09T07:00:00Z,2025-03-09T03:00:00-04:00,EST -5,,,,,,America/Chicago,2025-11-02T07:00:00Z,2025-11-02T01:00:00-06:00,CDT -5
America/Pangnirtung,2025-03-09T07:00:00Z,2025-03-09T03:00:00-04:00,EST -5,,,,,,America/Indiana/Knox,2025-11-02T07:00:00Z,2025-11-02T01:00:00-06:00,CDT -5
America/Port-au-Prince,2025-03-09T07:00:00Z,2025-03-09T03:00:00-04:00,EST -5,,,,,,America/Indiana/Tell_City,2025-11-02T07:00:00Z,2025-11-02T01:00:00-06:00,CDT -5
America/Thunder_Bay,2025-03-09T07:00:00Z,2025-03-09T03:00:00-04:00,EST -5,,,,,,America/Knox_IN,2025-11-02T07:00:00Z,2025-11-02T01:00:00-06:00,CDT -5
America/Toronto,2025-03-09T07:00:00Z,2025-03-09T03:00:00-04:00,EST -5,,,,,,America/Matamoros,2025-11-02T07:00:00Z,2025-11-02T01:00:00-06:00,CDT -5
Canada/Eastern,2025-03-09T07:00:00Z,2025-03-09T03:00:00-04:00,EST -5,,,,,,America/Menominee,2025-11-02T07:00:00Z,2025-11-02T01:00:00-06:00,CDT -5
EST5EDT,2025-03-09T07:00:00Z,2025-03-09T03:00:00-04:00,EST -5,,,,,,America/North_Dakota/Beulah,2025-11-02T07:00:00Z,2025-11-02T01:00:00-06:00,CDT -5
US/East-Indiana,2025-03-09T07:00:00Z,2025-03-09T03:00:00-04:00,EST -5,,,,,,America/North_Dakota/Center,2025-11-02T07:00:00Z,2025-11-02T01:00:00-06:00,CDT -5
US/Eastern,2025-03-09T07:00:00Z,2025-03-09T03:00:00-04:00,EST -5,,,,,,America/North_Dakota/New_Salem,2025-11-02T07:00:00Z,2025-11-02T01:00:00-06:00,CDT -5
US/Michigan,2025-03-09T07:00:00Z,2025-03-09T03:00:00-04:00,EST -5,,,,,,America/Ojinaga,2025-11-02T07:00:00Z,2025-11-02T01:00:00-06:00,CDT -5
America/Chicago,2025-03-09T08:00:00Z,2025-03-09T03:00:00-05:00,CST -6,,,,,,America/Rainy_River,2025-11-02T07:00:00Z,2025-11-02T01:00:00-06:00,CDT -5
America/Indiana/Knox,2025-03-09T08:00:00Z,2025-03-09T03:00:00-05:00,CST -6,,,,,,America/Rankin_Inlet,2025-11-02T07:00:00Z,2025-11-02T01:00:00-06:00,CDT -5
America/Indiana/Tell_City,2025-03-09T08:00:00Z,2025-03-09T03:00:00-05:00,CST -6,,,,,,America/Resolute,2025-11-02T07:00:00Z,2025-11-02T01:00:00-06:00,CDT -5
America/Knox_IN,2025-03-09T08:00:00Z,2025-03-09T03:00:00-05:00,CST -6,,,,,,America/Winnipeg,2025-11-02T07:00:00Z,2025-11-02T01:00:00-06:00,CDT -5
America/Matamoros,2025-03-09T08:00:00Z,2025-03-09T03:00:00-05:00,CST -6,,,,,,CST6CDT,2025-11-02T07:00:00Z,2025-11-02T01:00:00-06:00,CDT -5
America/Menominee,2025-03-09T08:00:00Z,2025-03-09T03:00:00-05:00,CST -6,,,,,,Canada/Central,2025-11-02T07:00:00Z,2025-11-02T01:00:00-06:00,CDT -5
America/North_Dakota/Beulah,2025-03-09T08:00:00Z,2025-03-09T03:00:00-05:00,CST -6,,,,,,US/Central,2025-11-02T07:00:00Z,2025-11-02T01:00:00-06:00,CDT -5
America/North_Dakota/Center,2025-03-09T08:00:00Z,2025-03-09T03:00:00-05:00,CST -6,,,,,,US/Indiana-Starke,2025-11-02T07:00:00Z,2025-11-02T01:00:00-06:00,CDT -5
America/North_Dakota/New_Salem,2025-03-09T08:00:00Z,2025-03-09T03:00:00-05:00,CST -6,,,,,,America/Detroit,2025-11-02T06:00:00Z,2025-11-02T01:00:00-05:00,EDT -4
America/Ojinaga,2025-03-09T08:00:00Z,2025-03-09T03:00:00-05:00,CST -6,,,,,,America/Fort_Wayne,2025-11-02T06:00:00Z,2025-11-02T01:00:00-05:00,EDT -4
America/Rainy_River,2025-03-09T08:00:00Z,2025-03-09T03:00:00-05:00,CST -6,,,,,,America/Grand_Turk,2025-11-02T06:00:00Z,2025-11-02T01:00:00-05:00,EDT -4
America/Rankin_Inlet,2025-03-09T08:00:00Z,2025-03-09T03:00:00-05:00,CST -6,,,,,,America/Indiana/Indianapolis,2025-11-02T06:00:00Z,2025-11-02T01:00:00-05:00,EDT -4
America/Resolute,2025-03-09T08:00:00Z,2025-03-09T03:00:00-05:00,CST -6,,,,,,America/Indiana/Marengo,2025-11-02T06:00:00Z,2025-11-02T01:00:00-05:00,EDT -4
America/Winnipeg,2025-03-09T08:00:00Z,2025-03-09T03:00:00-05:00,CST -6,,,,,,America/Indiana/Petersburg,2025-11-02T06:00:00Z,2025-11-02T01:00:00-05:00,EDT -4
CST6CDT,2025-03-09T08:00:00Z,2025-03-09T03:00:00-05:00,CST -6,,,,,,America/Indiana/Vevay,2025-11-02T06:00:00Z,2025-11-02T01:00:00-05:00,EDT -4
Canada/Central,2025-03-09T08:00:00Z,2025-03-09T03:00:00-05:00,CST -6,,,,,,America/Indiana/Vincennes,2025-11-02T06:00:00Z,2025-11-02T01:00:00-05:00,EDT -4
US/Central,2025-03-09T08:00:00Z,2025-03-09T03:00:00-05:00,CST -6,,,,,,America/Indiana/Winamac,2025-11-02T06:00:00Z,2025-11-02T01:00:00-05:00,EDT -4
US/Indiana-Starke,2025-03-09T08:00:00Z,2025-03-09T03:00:00-05:00,CST -6,,,,,,America/Indianapolis,2025-11-02T06:00:00Z,2025-11-02T01:00:00-05:00,EDT -4
America/Boise,2025-03-09T09:00:00Z,2025-03-09T03:00:00-06:00,MST -7,,,,,,America/Iqaluit,2025-11-02T06:00:00Z,2025-11-02T01:00:00-05:00,EDT -4
America/Cambridge_Bay,2025-03-09T09:00:00Z,2025-03-09T03:00:00-06:00,MST -7,,,,,,America/Kentucky/Louisville,2025-11-02T06:00:00Z,2025-11-02T01:00:00-05:00,EDT -4
America/Ciudad_Juarez,2025-03-09T09:00:00Z,2025-03-09T03:00:00-06:00,MST -7,,,,,,America/Kentucky/Monticello,2025-11-02T06:00:00Z,2025-11-02T01:00:00-05:00,EDT -4
America/Denver,2025-03-09T09:00:00Z,2025-03-09T03:00:00-06:00,MST -7,,,,,,America/Louisville,2025-11-02T06:00:00Z,2025-11-02T01:00:00-05:00,EDT -4
America/Edmonton,2025-03-09T09:00:00Z,2025-03-09T03:00:00-06:00,MST -7,,,,,,America/Montreal,2025-11-02T06:00:00Z,2025-11-02T01:00:00-05:00,EDT -4
America/Inuvik,2025-03-09T09:00:00Z,2025-03-09T03:00:00-06:00,MST -7,,,,,,America/Nassau,2025-11-02T06:00:00Z,2025-11-02T01:00:00-05:00,EDT -4
America/Shiprock,2025-03-09T09:00:00Z,2025-03-09T03:00:00-06:00,MST -7,,,,,,America/New_York,2025-11-02T06:00:00Z,2025-11-02T01:00:00-05:00,EDT -4
America/Yellowknife,2025-03-09T09:00:00Z,2025-03-09T03:00:00-06:00,MST -7,,,,,,America/Nipigon,2025-11-02T06:00:00Z,2025-11-02T01:00:00-05:00,EDT -4
Canada/Mountain,2025-03-09T09:00:00Z,2025-03-09T03:00:00-06:00,MST -7,,,,,,America/Pangnirtung,2025-11-02T06:00:00Z,2025-11-02T01:00:00-05:00,EDT -4
MST7MDT,2025-03-09T09:00:00Z,2025-03-09T03:00:00-06:00,MST -7,,,,,,America/Port-au-Prince,2025-11-02T06:00:00Z,2025-11-02T01:00:00-05:00,EDT -4
Navajo,2025-03-09T09:00:00Z,2025-03-09T03:00:00-06:00,MST -7,,,,,,America/Thunder_Bay,2025-11-02T06:00:00Z,2025-11-02T01:00:00-05:00,EDT -4
US/Mountain,2025-03-09T09:00:00Z,2025-03-09T03:00:00-06:00,MST -7,,,,,,America/Toronto,2025-11-02T06:00:00Z,2025-11-02T01:00:00-05:00,EDT -4
America/Ensenada,2025-03-09T10:00:00Z,2025-03-09T03:00:00-07:00,PST -8,,,,,,Canada/Eastern,2025-11-02T06:00:00Z,2025-11-02T01:00:00-05:00,EDT -4
America/Los_Angeles,2025-03-09T10:00:00Z,2025-03-09T03:00:00-07:00,PST -8,,,,,,EST5EDT,2025-11-02T06:00:00Z,2025-11-02T01:00:00-05:00,EDT -4
America/Santa_Isabel,2025-03-09T10:00:00Z,2025-03-09T03:00:00-07:00,PST -8,,,,,,US/East-Indiana,2025-11-02T06:00:00Z,2025-11-02T01:00:00-05:00,EDT -4
America/Tijuana,2025-03-09T10:00:00Z,2025-03-09T03:00:00-07:00,PST -8,,,,,,US/Eastern,2025-11-02T06:00:00Z,2025-11-02T01:00:00-05:00,EDT -4
America/Vancouver,2025-03-09T10:00:00Z,2025-03-09T03:00:00-07:00,PST -8,,,,,,US/Michigan,2025-11-02T06:00:00Z,2025-11-02T01:00:00-05:00,EDT -4
Canada/Pacific,2025-03-09T10:00:00Z,2025-03-09T03:00:00-07:00,PST -8,,,,,,America/Glace_Bay,2025-11-02T05:00:00Z,2025-11-02T01:00:00-04:00,ADT -3
Mexico/BajaNorte,2025-03-09T10:00:00Z,2025-03-09T03:00:00-07:00,PST -8,,,,,,America/Goose_Bay,2025-11-02T05:00:00Z,2025-11-02T01:00:00-04:00,ADT -3
PST8PDT,2025-03-09T10:00:00Z,2025-03-09T03:00:00-07:00,PST -8,,,,,,America/Halifax,2025-11-02T05:00:00Z,2025-11-02T01:00:00-04:00,ADT -3
US/Pacific,2025-03-09T10:00:00Z,2025-03-09T03:00:00-07:00,PST -8,,,,,,America/Havana,2025-11-02T05:00:00Z,2025-11-02T00:00:00-05:00,CDT -4
America/Anchorage,2025-03-09T11:00:00Z,2025-03-09T03:00:00-08:00,AKST -9,,,,,,America/Moncton,2025-11-02T05:00:00Z,2025-11-02T01:00:00-04:00,ADT -3
America/Juneau,2025-03-09T11:00:00Z,2025-03-09T03:00:00-08:00,AKST -9,,,,,,America/Thule,2025-11-02T05:00:00Z,2025-11-02T01:00:00-04:00,ADT -3
America/Metlakatla,2025-03-09T11:00:00Z,2025-03-09T03:00:00-08:00,AKST -9,,,,,,Atlantic/Bermuda,2025-11-02T05:00:00Z,2025-11-02T01:00:00-04:00,ADT -3
America/Nome,2025-03-09T11:00:00Z,2025-03-09T03:00:00-08:00,AKST -9,,,,,,Canada/Atlantic,2025-11-02T05:00:00Z,2025-11-02T01:00:00-04:00,ADT -3
America/Sitka,2025-03-09T11:00:00Z,2025-03-09T03:00:00-08:00,AKST -9,,,,,,Cuba,2025-11-02T05:00:00Z,2025-11-02T00:00:00-05:00,CDT -4
America/Yakutat,2025-03-09T11:00:00Z,2025-03-09T03:00:00-08:00,AKST -9,,,,,,America/St_Johns,2025-11-02T04:30:00Z,2025-11-02T01:00:00-03:30,NDT -2.5
US/Alaska,2025-03-09T11:00:00Z,2025-03-09T03:00:00-08:00,AKST -9,,,,,,Canada/Newfoundland,2025-11-02T04:30:00Z,2025-11-02T01:00:00-03:30,NDT -2.5
America/Adak,2025-03-09T12:00:00Z,2025-03-09T03:00:00-09:00,HST -10,,,,,,America/Miquelon,2025-11-02T04:00:00Z,2025-11-02T01:00:00-03:00,-02 -2
America/Atka,2025-03-09T12:00:00Z,2025-03-09T03:00:00-09:00,HST -10,,,,,,Africa/Cairo,2025-10-30T21:00:00Z,2025-10-30T23:00:00+02:00,EEST 3
US/Aleutian,2025-03-09T12:00:00Z,2025-03-09T03:00:00-09:00,HST -10,,,,,,Egypt,2025-10-30T21:00:00Z,2025-10-30T23:00:00+02:00,EEST 3
Asia/Jerusalem,2025-03-28T00:00:00Z,2025-03-28T03:00:00+03:00,IST 2,,,,,,Africa/Ceuta,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2
Asia/Tel_Aviv,2025-03-28T00:00:00Z,2025-03-28T03:00:00+03:00,IST 2,,,,,,America/Godthab,2025-10-26T01:00:00Z,2025-10-25T23:00:00-02:00,-01 -1
Israel,2025-03-28T00:00:00Z,2025-03-28T03:00:00+03:00,IST 2,,,,,,America/Nuuk,2025-10-26T01:00:00Z,2025-10-25T23:00:00-02:00,-01 -1
Asia/Beirut,2025-03-29T22:00:00Z,2025-03-30T01:00:00+03:00,EET 2,,,,,,America/Scoresbysund,2025-10-26T01:00:00Z,2025-10-25T23:00:00-02:00,-01 -1
Europe/Chisinau,2025-03-30T00:00:00Z,2025-03-30T03:00:00+03:00,EET 2,,,,,,Antarctica/Troll,2025-10-26T01:00:00Z,2025-10-26T01:00:00Z,+02 2
Europe/Tiraspol,2025-03-30T00:00:00Z,2025-03-30T03:00:00+03:00,EET 2,,,,,,Arctic/Longyearbyen,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2
Africa/Ceuta,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1,,,,,,Asia/Famagusta,2025-10-26T01:00:00Z,2025-10-26T03:00:00+02:00,EEST 3
America/Godthab,2025-03-30T01:00:00Z,2025-03-30T00:00:00-01:00,-02 -2,,,,,,Asia/Nicosia,2025-10-26T01:00:00Z,2025-10-26T03:00:00+02:00,EEST 3
America/Nuuk,2025-03-30T01:00:00Z,2025-03-30T00:00:00-01:00,-02 -2,,,,,,Atlantic/Azores,2025-10-26T01:00:00Z,2025-10-26T00:00:00-01:00,+00 0
America/Scoresbysund,2025-03-30T01:00:00Z,2025-03-30T00:00:00-01:00,-02 -2,,,,,,Atlantic/Canary,2025-10-26T01:00:00Z,2025-10-26T01:00:00Z,WEST 1
Antarctica/Troll,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,+00 0,,,,,,Atlantic/Faeroe,2025-10-26T01:00:00Z,2025-10-26T01:00:00Z,WEST 1
Arctic/Longyearbyen,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1,,,,,,Atlantic/Faroe,2025-10-26T01:00:00Z,2025-10-26T01:00:00Z,WEST 1
Asia/Famagusta,2025-03-30T01:00:00Z,2025-03-30T04:00:00+03:00,EET 2,,,,,,Atlantic/Jan_Mayen,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2
Asia/Nicosia,2025-03-30T01:00:00Z,2025-03-30T04:00:00+03:00,EET 2,,,,,,Atlantic/Madeira,2025-10-26T01:00:00Z,2025-10-26T01:00:00Z,WEST 1
Atlantic/Azores,2025-03-30T01:00:00Z,2025-03-30T01:00:00Z,-01 -1,,,,,,CET,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2
Atlantic/Canary,2025-03-30T01:00:00Z,2025-03-30T02:00:00+01:00,WET 0,,,,,,EET,2025-10-26T01:00:00Z,2025-10-26T03:00:00+02:00,EEST 3
Atlantic/Faeroe,2025-03-30T01:00:00Z,2025-03-30T02:00:00+01:00,WET 0,,,,,,Eire,2025-10-26T01:00:00Z,2025-10-26T01:00:00Z,IST 1
Atlantic/Faroe,2025-03-30T01:00:00Z,2025-03-30T02:00:00+01:00,WET 0,,,,,,Europe/Amsterdam,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2
Atlantic/Jan_Mayen,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1,,,,,,Europe/Andorra,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2
Atlantic/Madeira,2025-03-30T01:00:00Z,2025-03-30T02:00:00+01:00,WET 0,,,,,,Europe/Athens,2025-10-26T01:00:00Z,2025-10-26T03:00:00+02:00,EEST 3
CET,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1,,,,,,Europe/Belfast,2025-10-26T01:00:00Z,2025-10-26T01:00:00Z,BST 1
EET,2025-03-30T01:00:00Z,2025-03-30T04:00:00+03:00,EET 2,,,,,,Europe/Belgrade,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2
Eire,2025-03-30T01:00:00Z,2025-03-30T02:00:00+01:00,GMT 0,,,,,,Europe/Berlin,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2
Europe/Amsterdam,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1,,,,,,Europe/Bratislava,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2
Europe/Andorra,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1,,,,,,Europe/Brussels,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2
Europe/Athens,2025-03-30T01:00:00Z,2025-03-30T04:00:00+03:00,EET 2,,,,,,Europe/Bucharest,2025-10-26T01:00:00Z,2025-10-26T03:00:00+02:00,EEST 3
Europe/Belfast,2025-03-30T01:00:00Z,2025-03-30T02:00:00+01:00,GMT 0,,,,,,Europe/Budapest,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2
Europe/Belgrade,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1,,,,,,Europe/Busingen,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2
Europe/Berlin,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1,,,,,,Europe/Copenhagen,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2
Europe/Bratislava,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1,,,,,,Europe/Dublin,2025-10-26T01:00:00Z,2025-10-26T01:00:00Z,IST 1
Europe/Brussels,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1,,,,,,Europe/Gibraltar,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2
Europe/Bucharest,2025-03-30T01:00:00Z,2025-03-30T04:00:00+03:00,EET 2,,,,,,Europe/Guernsey,2025-10-26T01:00:00Z,2025-10-26T01:00:00Z,BST 1
Europe/Budapest,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1,,,,,,Europe/Helsinki,2025-10-26T01:00:00Z,2025-10-26T03:00:00+02:00,EEST 3
Europe/Busingen,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1,,,,,,Europe/Isle_of_Man,2025-10-26T01:00:00Z,2025-10-26T01:00:00Z,BST 1
Europe/Copenhagen,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1,,,,,,Europe/Jersey,2025-10-26T01:00:00Z,2025-10-26T01:00:00Z,BST 1
Europe/Dublin,2025-03-30T01:00:00Z,2025-03-30T02:00:00+01:00,GMT 0,,,,,,Europe/Kiev,2025-10-26T01:00:00Z,2025-10-26T03:00:00+02:00,EEST 3
Europe/Gibraltar,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1,,,,,,Europe/Kyiv,2025-10-26T01:00:00Z,2025-10-26T03:00:00+02:00,EEST 3
Europe/Guernsey,2025-03-30T01:00:00Z,2025-03-30T02:00:00+01:00,GMT 0,,,,,,Europe/Lisbon,2025-10-26T01:00:00Z,2025-10-26T01:00:00Z,WEST 1
Europe/Helsinki,2025-03-30T01:00:00Z,2025-03-30T04:00:00+03:00,EET 2,,,,,,Europe/Ljubljana,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2
Europe/Isle_of_Man,2025-03-30T01:00:00Z,2025-03-30T02:00:00+01:00,GMT 0,,,,,,Europe/London,2025-10-26T01:00:00Z,2025-10-26T01:00:00Z,BST 1
Europe/Jersey,2025-03-30T01:00:00Z,2025-03-30T02:00:00+01:00,GMT 0,,,,,,Europe/Luxembourg,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2
Europe/Kiev,2025-03-30T01:00:00Z,2025-03-30T04:00:00+03:00,EET 2,,,,,,Europe/Madrid,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2
Europe/Kyiv,2025-03-30T01:00:00Z,2025-03-30T04:00:00+03:00,EET 2,,,,,,Europe/Malta,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2
Europe/Lisbon,2025-03-30T01:00:00Z,2025-03-30T02:00:00+01:00,WET 0,,,,,,Europe/Mariehamn,2025-10-26T01:00:00Z,2025-10-26T03:00:00+02:00,EEST 3
Europe/Ljubljana,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1,,,,,,Europe/Monaco,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2
Europe/London,2025-03-30T01:00:00Z,2025-03-30T02:00:00+01:00,GMT 0,,,,,,Europe/Nicosia,2025-10-26T01:00:00Z,2025-10-26T03:00:00+02:00,EEST 3
Europe/Luxembourg,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1,,,,,,Europe/Oslo,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2
Europe/Madrid,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1,,,,,,Europe/Paris,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2
Europe/Malta,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1,,,,,,Europe/Podgorica,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2
Europe/Mariehamn,2025-03-30T01:00:00Z,2025-03-30T04:00:00+03:00,EET 2,,,,,,Europe/Prague,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2
Europe/Monaco,2025-03-30T01:00:00Z,2025-03-30T03:00:00+02:00,CET 1,,,,,,Europe/Riga,2025-10-26T01:00:00Z,2025-10-26T03:00:00+02:00,EEST 3
Europe/Nicosia,2025-03-30T01:00:00Z,2025-03-30T04:00:00+03:00,EET 2,,,,,,Europe/Rome,2025-10-26T01:00:00Z,2025-10-26T02:00:00+01:00,CEST 2
